beneficiary_id,region,household_size,num_loans,avg_loan_amount,on_time_ratio,avg_days_late,max_dpd,num_defaults,avg_kwh_30d,var_kwh_30d,seasonality_index,avg_recharge_amount,recharge_freq_30d,last_recharge_days,bill_on_time_ratio,avg_bill_delay,avg_bill_amount,education_level,occupation,asset_score,default_flag,income_band,region_encoded,education_encoded,occupation_encoded,income_band_encoded,loan_per_household,kwh_per_household,recharge_intensity,payment_reliability,financial_stability
BEN_000001,Rural,4,1,11351.0,0.613,4.1,13,0,24.0,11.8,1.12,98,1,18,0.597,4.2,50,Secondary,Farmer,0,0,Medium,0,3,0,2,2837.75,6.0,98.0,0.605,0.0
BEN_000002,Urban,3,4,50080.0,0.757,8.0,27,0,82.0,23.7,1.54,321,7,15,0.645,5.8,425,Illiterate,Service,5,0,High,1,1,2,0,16693.333333333332,27.333333333333332,45.857142857142854,0.7010000000000001,5.0
BEN_000003,Urban,6,1,49335.0,0.815,5.2,1,0,84.5,31.2,1.29,79,4,6,0.801,1.6,350,Primary,Service,1,0,Medium,1,2,2,2,8222.5,14.083333333333334,19.75,0.808,1.0
BEN_000004,Rural,3,1,5681.0,0.568,12.9,11,0,14.4,8.5,1.65,106,2,15,0.564,2.5,50,Graduate,Shopkeeper,0,0,Medium,0,0,3,2,1893.6666666666667,4.8,53.0,0.566,0.0
BEN_000005,Rural,3,3,2686.0,0.752,6.2,8,0,5.0,1.1,1.65,139,6,25,0.825,0.5,299,Primary,Laborer,0,0,Very Low,0,2,1,3,895.3333333333334,1.6666666666666667,23.166666666666668,0.7885,0.0
BEN_000006,Rural,3,2,12245.0,0.508,12.4,9,0,5.0,2.3,0.8,56,1,2,0.479,0.4,147,Secondary,Service,0,0,Low,0,3,2,1,4081.6666666666665,1.6666666666666667,56.0,0.4935,0.0
BEN_000007,Rural,4,1,17166.0,0.863,0.2,44,0,40.3,9.3,1.84,154,3,4,0.811,0.5,219,Illiterate,Farmer,4,0,High,0,1,0,0,4291.5,10.075,51.333333333333336,0.837,4.0
BEN_000008,Urban,2,1,16931.0,0.869,11.2,3,0,104.4,19.1,0.8,600,2,6,0.835,1.1,441,Primary,Service,9,0,High,1,2,2,0,8465.5,52.2,300.0,0.852,9.0
BEN_000009,Rural,4,1,23986.0,0.823,12.6,4,0,5.0,1.9,1.48,20,7,17,0.699,1.3,50,Primary,Shopkeeper,0,0,Very Low,0,2,3,3,5996.5,1.25,2.857142857142857,0.7609999999999999,0.0
BEN_000010,Urban,5,1,47711.0,0.858,4.7,2,0,21.0,5.2,0.95,20,7,5,0.778,1.3,50,Illiterate,Service,1,0,Very Low,1,1,2,3,9542.2,4.2,2.857142857142857,0.8180000000000001,1.0
BEN_000011,Rural,4,2,3735.0,0.3,14.0,30,0,21.4,12.6,0.99,46,3,0,0.182,7.0,50,Secondary,Shopkeeper,0,1,Very Low,0,3,3,3,933.75,5.35,15.333333333333334,0.241,0.0
BEN_000012,Urban,2,2,19095.0,0.932,6.6,8,0,5.0,1.7,2.08,134,2,2,0.905,0.0,216,Graduate,Service,2,0,Medium,1,0,2,2,9547.5,2.5,67.0,0.9185000000000001,2.0
BEN_000013,Urban,3,1,44309.0,0.756,4.8,30,0,13.6,2.8,2.81,196,3,2,0.64,5.9,81,Primary,Service,0,0,Very Low,1,2,2,3,14769.666666666666,4.533333333333333,65.33333333333333,0.698,0.0
BEN_000014,Rural,5,1,7755.0,0.758,2.9,16,0,137.2,51.1,1.37,699,2,2,0.847,2.0,446,Primary,Shopkeeper,10,0,High,0,2,3,0,1551.0,27.439999999999998,349.5,0.8025,10.0
BEN_000015,Rural,5,1,15256.0,0.903,0.9,1,0,5.0,1.9,1.43,137,2,16,0.789,6.2,50,Secondary,Farmer,1,0,Low,0,3,0,1,3051.2,1.0,68.5,0.8460000000000001,1.0
BEN_000016,Rural,4,2,12147.0,0.179,7.9,2,0,5.2,4.0,1.76,98,1,5,0.168,15.7,50,Illiterate,Service,1,1,Low,0,1,2,1,3036.75,1.3,98.0,0.1735,1.0
BEN_000017,Rural,7,1,5927.0,0.888,2.2,37,0,16.7,10.4,0.85,55,2,4,0.736,2.3,50,Illiterate,Farmer,1,0,Very Low,0,1,0,3,846.7142857142857,2.3857142857142857,27.5,0.812,1.0
BEN_000018,Rural,5,1,12354.0,0.711,19.4,63,0,24.8,13.7,1.43,108,4,8,0.695,0.1,50,Primary,Laborer,1,0,Medium,0,2,1,2,2470.8,4.96,27.0,0.703,1.0
BEN_000019,Rural,6,2,1936.0,0.889,0.9,2,1,37.1,25.1,1.57,220,3,5,0.825,7.6,153,Graduate,Farmer,1,1,Medium,0,0,0,2,322.6666666666667,6.183333333333334,73.33333333333333,0.857,0.5
BEN_000020,Rural,7,1,16795.0,0.546,3.6,1,1,6.0,4.0,1.48,20,3,1,0.432,9.3,50,Graduate,Shopkeeper,1,1,Very Low,0,0,3,3,2399.285714285714,0.8571428571428571,6.666666666666667,0.489,0.5
BEN_000021,Rural,3,4,7426.0,0.572,8.6,17,0,15.8,6.6,1.12,20,3,5,0.393,2.9,141,Primary,Laborer,0,1,Very Low,0,2,1,3,2475.3333333333335,5.266666666666667,6.666666666666667,0.4825,0.0
BEN_000022,Rural,4,2,32528.0,0.661,39.0,6,0,11.0,4.4,1.3,20,5,6,0.596,0.4,277,Primary,Shopkeeper,1,0,Very Low,0,2,3,3,8132.0,2.75,4.0,0.6285000000000001,1.0
BEN_000023,Rural,4,2,8096.0,0.547,10.1,1,0,5.0,1.8,1.78,20,1,5,0.509,7.4,50,Secondary,Shopkeeper,1,0,Low,0,3,3,1,2024.0,1.25,20.0,0.528,1.0
BEN_000024,Rural,4,1,20648.0,0.346,16.2,33,0,12.1,5.2,1.64,20,3,30,0.23,0.6,496,Illiterate,Shopkeeper,2,1,Low,0,1,3,1,5162.0,3.025,6.666666666666667,0.288,2.0
BEN_000025,Rural,2,1,17129.0,0.706,15.7,30,0,6.8,4.0,1.38,20,3,2,0.558,1.1,435,Primary,Farmer,0,0,Very Low,0,2,0,3,8564.5,3.4,6.666666666666667,0.632,0.0
BEN_000026,Urban,3,2,45275.0,0.912,3.6,10,0,12.0,4.5,1.44,282,1,12,0.817,0.4,554,Primary,Service,5,0,High,1,2,2,0,15091.666666666666,4.0,282.0,0.8645,5.0
BEN_000027,Rural,6,2,16002.0,0.858,0.6,32,0,18.5,13.0,1.59,20,6,8,0.673,2.6,214,Illiterate,Laborer,2,0,Low,0,1,1,1,2667.0,3.0833333333333335,3.3333333333333335,0.7655000000000001,2.0
BEN_000028,Rural,3,1,13328.0,0.735,5.5,0,1,5.0,2.0,1.06,45,1,4,0.719,3.3,50,Primary,Farmer,0,1,Low,0,2,0,1,4442.666666666667,1.6666666666666667,45.0,0.727,0.0
BEN_000029,Rural,8,3,14589.0,0.639,1.3,3,0,13.6,9.5,1.62,74,2,16,0.453,1.3,50,Illiterate,Farmer,2,0,Very Low,0,1,0,3,1823.625,1.7,37.0,0.546,2.0
BEN_000030,Rural,6,3,15446.0,0.805,10.5,4,0,5.0,2.6,0.8,24,1,18,0.878,1.8,50,Secondary,Farmer,1,0,Very Low,0,3,0,3,2574.3333333333335,0.8333333333333334,24.0,0.8415,1.0
BEN_000031,Rural,5,2,8459.0,0.526,2.2,30,0,15.5,7.3,1.41,20,1,2,0.601,4.4,106,Secondary,Shopkeeper,0,1,Very Low,0,3,3,3,1691.8,3.1,20.0,0.5635,0.0
BEN_000032,Rural,3,1,6726.0,0.723,8.4,29,0,5.0,2.1,1.44,104,1,18,0.724,0.3,109,Secondary,Farmer,2,0,Medium,0,3,0,2,2242.0,1.6666666666666667,104.0,0.7235,2.0
BEN_000033,Rural,5,2,7381.0,0.72,16.7,24,1,10.4,2.4,1.18,66,1,1,0.621,1.5,210,Illiterate,Shopkeeper,1,1,Low,0,1,3,1,1476.2,2.08,66.0,0.6705,0.5
BEN_000034,Urban,3,3,21799.0,0.907,9.0,2,0,50.5,7.9,2.26,337,1,15,0.723,0.9,50,Secondary,Service,3,0,Medium,1,3,2,2,7266.333333333333,16.833333333333332,337.0,0.815,3.0
BEN_000035,Urban,6,2,63906.0,0.47,36.6,19,0,20.0,5.5,1.46,39,3,5,0.482,8.9,265,Graduate,Laborer,3,1,Very Low,1,0,1,3,10651.0,3.3333333333333335,13.0,0.476,3.0
BEN_000036,Urban,3,3,8849.0,0.772,3.2,5,0,124.5,37.6,1.55,572,5,3,0.75,0.8,98,Secondary,Shopkeeper,10,0,High,1,3,3,0,2949.6666666666665,41.5,114.4,0.761,10.0
BEN_000037,Rural,4,1,10368.0,0.399,8.8,1,1,5.0,1.1,1.16,48,5,6,0.533,0.2,50,Illiterate,Farmer,0,1,Very Low,0,1,0,3,2592.0,1.25,9.6,0.466,0.0
BEN_000038,Rural,4,1,17509.0,0.802,10.8,3,0,32.6,17.7,1.34,108,4,14,0.795,1.4,50,Primary,Farmer,3,0,Medium,0,2,0,2,4377.25,8.15,27.0,0.7985,3.0
BEN_000039,Rural,6,1,9981.0,0.564,0.6,22,0,17.6,11.2,1.36,61,1,13,0.519,5.3,218,Graduate,Farmer,1,0,Very Low,0,0,0,3,1663.5,2.9333333333333336,61.0,0.5415,1.0
BEN_000040,Rural,4,3,36602.0,0.369,3.9,19,1,18.2,5.6,1.11,20,1,1,0.256,0.5,50,Primary,Laborer,0,1,Very Low,0,2,1,3,9150.5,4.55,20.0,0.3125,0.0
BEN_000041,Rural,5,1,10357.0,0.96,0.5,0,0,34.4,26.6,1.26,26,3,8,0.899,0.7,117,Illiterate,Farmer,0,0,Low,0,1,0,1,2071.4,6.88,8.666666666666666,0.9295,0.0
BEN_000042,Rural,6,1,9600.0,0.558,3.9,9,0,40.2,23.5,1.29,43,1,5,0.313,0.9,50,Primary,Farmer,0,0,Low,0,2,0,1,1600.0,6.7,43.0,0.4355,0.0
BEN_000043,Rural,3,2,6634.0,0.157,41.1,9,0,17.6,5.9,1.31,62,4,7,0.266,2.8,50,Secondary,Laborer,1,1,Low,0,3,1,1,2211.3333333333335,5.866666666666667,15.5,0.21150000000000002,1.0
BEN_000044,Urban,4,4,15010.0,0.654,17.3,1,0,150.2,44.9,1.6,488,2,4,0.594,5.3,622,Illiterate,Shopkeeper,9,0,High,1,1,3,0,3752.5,37.55,244.0,0.624,9.0
BEN_000045,Rural,5,1,18655.0,0.812,0.1,17,0,5.0,2.1,1.4,24,4,14,0.765,2.1,50,Secondary,Farmer,2,0,Very Low,0,3,0,3,3731.0,1.0,6.0,0.7885,2.0
BEN_000046,Rural,5,4,25712.0,0.578,8.6,12,2,22.8,13.9,1.71,137,2,6,0.49,2.8,178,Graduate,Service,2,1,Medium,0,0,2,2,5142.4,4.5600000000000005,68.5,0.534,0.6666666666666666
BEN_000047,Rural,4,1,21687.0,0.927,11.4,12,0,56.3,37.5,1.38,298,1,6,0.959,0.1,526,Illiterate,Laborer,5,0,High,0,1,1,0,5421.75,14.075,298.0,0.9430000000000001,5.0
BEN_000048,Rural,6,4,10173.0,0.844,0.6,29,0,40.9,13.8,1.31,69,2,5,0.691,5.2,85,Illiterate,Farmer,1,0,Low,0,1,0,1,1695.5,6.816666666666666,34.5,0.7675,1.0
BEN_000049,Rural,7,1,4894.0,0.9,1.6,0,0,37.5,26.0,1.21,106,2,4,0.746,3.0,178,Illiterate,Farmer,4,0,Low,0,1,0,1,699.1428571428571,5.357142857142857,53.0,0.823,4.0
BEN_000050,Rural,5,1,11082.0,0.594,5.1,5,0,5.0,2.3,1.72,20,2,16,0.426,6.7,303,Primary,Laborer,1,0,Very Low,0,2,1,3,2216.4,1.0,10.0,0.51,1.0
BEN_000051,Urban,5,3,112744.0,0.905,2.6,9,0,267.3,100.2,1.77,768,3,12,0.665,1.8,1426,Secondary,Service,10,0,High,1,3,2,0,22548.8,53.46,256.0,0.785,10.0
BEN_000052,Urban,2,5,29807.0,0.818,2.7,25,1,45.4,14.0,1.34,20,5,10,0.76,0.4,295,Graduate,Laborer,2,1,Very Low,1,0,1,3,14903.5,22.7,4.0,0.7889999999999999,1.0
BEN_000053,Urban,6,2,63165.0,0.454,6.7,3,1,66.5,13.1,2.04,175,10,0,0.478,1.6,450,Graduate,Service,3,1,Low,1,0,2,1,10527.5,11.083333333333334,17.5,0.46599999999999997,1.5
BEN_000054,Urban,3,4,15345.0,0.659,44.3,5,0,179.5,33.0,1.29,990,10,15,0.475,3.0,1129,Secondary,Service,10,0,High,1,3,2,0,5115.0,59.833333333333336,99.0,0.567,10.0
BEN_000055,Rural,5,1,21292.0,0.554,3.2,46,0,5.0,2.8,0.89,92,4,1,0.603,4.5,256,Illiterate,Service,0,0,Low,0,1,2,1,4258.4,1.0,23.0,0.5785,0.0
BEN_000056,Urban,5,4,7450.0,0.914,1.0,2,0,232.5,39.6,2.07,521,7,23,0.99,0.1,1407,Secondary,Service,10,0,High,1,3,2,0,1490.0,46.5,74.42857142857143,0.952,10.0
BEN_000057,Rural,5,1,14960.0,0.631,5.2,6,0,13.0,7.8,0.94,25,2,2,0.436,6.4,50,Secondary,Shopkeeper,0,0,Very Low,0,3,3,3,2992.0,2.6,12.5,0.5335,0.0
BEN_000058,Rural,6,2,17075.0,0.799,15.4,20,0,6.8,3.1,1.4,20,4,6,0.783,0.4,50,Secondary,Farmer,1,0,Very Low,0,3,0,3,2845.8333333333335,1.1333333333333333,5.0,0.791,1.0
BEN_000059,Rural,5,1,14090.0,0.59,4.5,5,0,8.5,3.1,1.48,25,3,10,0.53,3.1,189,Primary,Laborer,1,0,Very Low,0,2,1,3,2818.0,1.7,8.333333333333334,0.56,1.0
BEN_000060,Rural,4,1,6743.0,0.837,3.0,5,0,7.4,1.8,1.16,20,4,12,0.825,0.2,50,Secondary,Farmer,0,0,Very Low,0,3,0,3,1685.75,1.85,5.0,0.831,0.0
BEN_000061,Rural,3,3,8394.0,0.609,25.5,26,0,23.7,12.6,1.33,20,1,3,0.559,1.2,50,Primary,Laborer,0,0,Very Low,0,2,1,3,2798.0,7.8999999999999995,20.0,0.5840000000000001,0.0
BEN_000062,Rural,7,2,3817.0,0.632,16.1,5,0,12.5,3.7,1.23,20,1,9,0.415,0.9,50,Illiterate,Farmer,1,0,Very Low,0,1,0,3,545.2857142857143,1.7857142857142858,20.0,0.5235,1.0
BEN_000063,Urban,4,3,126454.0,0.732,5.3,1,0,291.3,91.7,1.3,1000,5,20,0.628,0.0,882,Illiterate,Service,10,0,High,1,1,2,0,31613.5,72.825,200.0,0.6799999999999999,10.0
