,default_risk_proba,income_score_norm,composite_score,credit_category
17298,0.035044017366343765,0.5628978208362051,0.844338534094421,High
5283,0.017202904430329503,0.8663713666293966,0.9478693768875883,Excellent
11800,0.9653147861336824,0.6513518798404432,0.21968521365855528,Low
15922,0.41700920363826893,0.30454017108680376,0.4994556087792529,Low
3613,0.1541937179126512,0.5299986597834219,0.7510639953961706,Medium
11685,0.25973773057358335,0.8075092758627506,0.7604363713573168,Medium
7896,0.009035774624424734,0.587931955437861,0.870054544394261,High
7701,0.9057135145038347,0.8289414618536418,0.3146829784034082,Low
6778,0.018805836288218487,0.560092639330598,0.8548637063974264,High
4551,0.10609656383481691,0.00028369559121943077,0.6258175139929939,Medium
5274,0.01898936405723501,0.55763474304589,0.8539978680737024,High
15947,0.16875382641556913,0.6264569790503366,0.7698094152242025,High
15115,0.008545859189335762,0.6688457381038332,0.8946716199986149,Excellent
1739,0.0852091990617062,0.5815863819551711,0.8148294752433569,High
7558,0.01385657206676776,0.5522131892871963,0.8559643563394215,High
15120,0.5633567370571367,0.7741718458124759,0.537901837803747,Low
9184,0.01787283724741034,0.38558768620142925,0.8031653197872415,High
15207,0.013602754614121344,0.4507586595710967,0.825705669641444,High
5406,0.007295352062723922,0.5961491233417038,0.8737379905586043,Excellent
1518,0.5203525015501528,0.587865148532746,0.5121127934747168,Low
2201,0.17412792066119803,0.8337419568103958,0.8282330425802801,High
9513,0.7251744001513196,0.6425446283881506,0.3851413084105214,Low
17142,0.5500501384671508,0.5786987797633433,0.4885745370019974,Low
14105,0.1278052300718979,0.9443036327309429,0.8938274287689543,Excellent
1812,0.2353995872942625,0.5739628878559836,0.7074091552508113,Medium
1534,0.9903596192977611,0.8491391638885902,0.2614900156581443,Low
10025,0.17255916312529293,0.6403866835854967,0.7713245908879438,High
13687,0.292416223689427,0.8961520443000404,0.7641542567074131,High
8316,0.00963979816227019,0.574150018552889,0.8654971468522775,High
8160,0.5190103670260897,0.5668261899320934,0.5067406000613652,Low
4744,0.27575340316443064,3.4343906996532665e-10,0.5069726178879302,Low
11862,0.020895738084515576,1.9020258703764595e-05,0.6853786894184501,Medium
4444,0.7941207081667514,0.6015878424474789,0.3245918570175177,Low
18487,0.01175900370591166,0.8133582067479926,0.9357761594302596,Excellent
4471,0.03599830474728341,0.12052741446024845,0.7109594110149762,Medium
8564,0.956805307820746,0.0011163148977676911,0.03057117899480809,Low
4346,0.022304766271831623,0.008364219773411362,0.6868959295417412,Medium
13071,0.006321695727420916,0.6590570331744753,0.893291922943148,Excellent
593,0.03603327410496973,0.9465714648052131,0.958748147568085,Excellent
16978,0.9784310735247579,0.910013674855556,0.2881023509893363,Low
15081,0.11941757206885235,0.6293311122798438,0.8052070332357565,High
15477,0.9685299395138477,0.8326175377810479,0.27181430367462095,Low
9270,0.013832310799560328,0.005925956415583962,0.6920951693649829,Medium
1249,0.01252376479177802,0.6895041666633696,0.8980846146447662,Excellent
3823,0.9482174322464998,0.9481521210531809,0.3206934337434044,Low
10552,0.01243560954262809,2.7596281459264405e-05,0.691303352204598,Medium
5477,0.3868368981510648,0.5594679076481663,0.5970545435887045,Medium
675,0.029517571450064353,0.8841420026530397,0.9445803007808667,Excellent
9197,0.009256873537628326,0.8295109353381931,0.9423734691251181,Excellent
7933,0.18602385096425447,0.018543033398730487,0.5753462143446411,Medium
10748,0.09547542880306137,0.8123997457958455,0.8768871235766106,Excellent
14850,0.006321695727420916,0.0008732446881689559,0.6958367863972561,Medium
13593,0.01974145805458473,0.6135069911567779,0.870233076708824,High
3653,0.27198003037397334,0.00017597261535578582,0.5096667705228254,Low
15031,0.014353414670437945,5.148712248909012e-07,0.6899527641920609,Medium
10289,0.02281071610896952,0.1476700041058065,0.7283334999554633,Medium
3155,0.11040539997978474,0.7382011220267141,0.8441765566221648,High
4726,0.8325390467230123,0.6594385567501783,0.31505423431894486,Low
4788,0.03490449352855353,0.14349264914278476,0.7186146492728479,Medium
11535,0.00769071721305514,0.644298207564869,0.8879059602203221,Excellent
5936,0.00960546751352553,1.4652744616951406e-12,0.6932761727409716,Medium
6382,0.16266765321809082,0.6502226934585312,0.7811994507848957,High
13298,0.03463000463328122,0.5574402646355275,0.8429910761473614,High
16084,0.01897397886965779,0.030937804154757536,0.6959995560376667,Medium
6685,0.034414214035723444,0.5704065140186442,0.8470320043805869,High
6713,0.006008728897090618,0.6137884507005903,0.8799304249822137,Excellent
15616,0.009740106003508574,0.5784442783272749,0.8667152092957263,High
5591,0.08862660306004991,0.09785297389876768,0.6673172700275953,Medium
246,0.005646575023787155,0.9607292312817802,0.984266166867883,Excellent
1652,0.013229583576779863,0.6086200847741451,0.8733253169284977,High
4563,0.8761723797004806,0.5909904054170809,0.26397645583478785,Low
18549,0.04672248676582417,0.9435333658107705,0.9503542690071543,Excellent
11783,0.8799793848592664,0.5827002089088258,0.25882449327116125,Low
5606,0.012979090020540054,0.8889096549731524,0.9575875334775676,Excellent
10143,0.058696456103656466,0.07103480260030234,0.6802229215075312,Medium
19038,0.02303943278869129,0.865858026654225,0.9436298050441836,Excellent
3434,0.01913741815675239,0.8438509892894659,0.9397591040771129,Excellent
2515,0.8733338874762098,0.27009604719166164,0.16969509292415164,Low
12077,0.05278843367450343,1.0410622061879721e-05,0.6630512196144661,Medium
1274,0.031156930762220394,0.9052523827656999,0.9497658632961556,Excellent
19639,0.12987249600039263,3.1255844776104055e-09,0.6090892537374005,Medium
8198,0.010353487825801866,0.8867629525773827,0.9587814442951536,Excellent
689,0.033493568413272355,0.5258967026103059,0.8343235128938011,High
8805,0.005447291033491089,0.8615134389222181,0.9546409279532215,Excellent
12341,0.024674797080093878,0.5774851158499292,0.8559731767989129,High
19743,0.04676342824767125,0.13021693641816626,0.70633068115208,Medium
8583,0.6774280681832475,0.7248710995108972,0.44326168212499584,Low
19264,0.01848263991386778,0.015005828494097064,0.6915639006085217,Medium
351,0.00564890517108176,8.398574727803782e-06,0.6960482859526611,Medium
16329,0.013153323119663914,0.6850525144701003,0.8963084281572653,Excellent
7881,0.2425108378750322,0.00013755624090256276,0.5302836803597482,Low
13955,0.007015278035093103,2.0782017596661035e-07,0.6950893677214875,Medium
5297,0.28601711614499015,0.8742499132464908,0.762062992672454,Medium
13539,0.04586921422526959,0.8382496465030925,0.919366443993239,Excellent
1237,0.050161447956235394,0.8740247389693279,0.9270944081214336,Excellent
3046,0.9352306268584516,0.7558321298446423,0.27208820015247653,Low
13601,0.0855518957572361,0.6130450270832024,0.8240271810948954,High
16820,0.08554168568885155,0.6505941276128493,0.8352990583016586,High
18991,0.5189179941439581,0.5792605565125739,0.5105355710530014,Low
4092,0.6013130718676553,0.6168136807555669,0.46412495391931136,Low
14415,0.01209395746078956,0.6484612793656833,0.8860726135871523,Excellent
11494,0.013501549727040622,2.4594690445484084e-06,0.690549653031785,Medium
3940,0.27587719935198207,0.7997554389390766,0.7468125921353356,Medium
3679,0.21889877547978132,0.0019276057089560978,0.5473491388768399,Low
19495,0.07164607964782803,0.8742999985260078,0.9121377438043228,Excellent
8363,0.9739111635303106,0.5951279241624068,0.19680056277750463,Low
5825,0.2204567683328335,1.5375399785883003e-12,0.5456802621674778,Low
9541,0.006910098506060985,0.0013927927697094165,0.6955807688766702,Medium
